Episode,Reward
1,-87120.64384485324
2,-104301.14079815467
3,-90929.92119796932
4,-84603.7409288884
5,-92446.78324551407
6,-96112.37578622387
7,-97787.89694818937
8,-98525.36960585909
9,-96134.19765767397
10,-102600.44296128798
11,-89592.18522688338
12,-96742.38037530183
13,-93861.93841823739
14,-94155.52308460105
15,-91608.1709138229
16,-97888.04985292745
17,-94182.00749444924
18,-90465.10039779235
19,-91086.40424967534
20,-90732.2258402866
21,-100801.78074263691
22,-93532.91534532557
23,-90659.48154020021
24,-94553.11044591884
25,-90714.16771595614
26,-101558.20759507628
27,-93553.30786475455
28,-97808.46101771672
29,-95394.7573471285
30,-89002.6902213038
31,-93000.4938281234
32,-95461.5451886905
33,-90416.1426217465
34,-104465.53950560474
35,-96738.02011288586
36,-93865.56219673771
37,-97220.50068282345
38,-90185.05218588357
39,-100104.42041142931
40,-94514.12042649054
41,-100078.78226082034
42,-89793.82767617515
43,-91860.94098847317
44,-94215.68346000211
45,-90212.63304306874
46,-99644.14749031983
47,-94208.76412765328
48,-95572.80869998694
49,-85843.72357022163
50,-98505.15757779454
51,-99152.56655441628
52,-88787.19777424406
53,-90019.06207043005
54,-83790.93822123662
55,-88582.52080825751
56,-93303.89695385977
57,-91475.74448814617
58,-100764.78058195917
59,-95591.57882743824
60,-83853.28445834426
61,-92566.29867548929
62,-91223.65508352943
63,-115555.51232628671
64,-91432.64882459547
65,-84855.91112672978
66,-97820.49076829897
67,-88625.17952661704
68,-98950.54915699558
69,-88577.78116140781
70,-90994.95985720512
71,-89279.56428576882
72,-92403.63462566411
73,-93414.29305579783
74,-91648.18418695212
75,-90522.59214089539
76,-93070.12439736942
77,-92740.83516420847
78,-91879.16300117104
79,-100470.76607626764
80,-93721.22173288537
81,-101283.1106234333
82,-92148.43513845146
83,-82314.5012376731
84,-91691.05516743024
85,-96101.74357181774
86,-104404.99110319326
87,-92497.787522102
88,-91114.49970999155
89,-98397.7155471682
90,-98271.58119764953
91,-87840.52002024063
92,-101256.78948259007
93,-93491.23084094803
94,-85620.58510939383
95,-96227.62885265255
96,-83061.86283533018
